id,MajorAxisLength,MinorAxisLength,Roundness,AspectRation
1,92.2293165,64.01276874,0.7645096145,1.440795615
2,74.69188071,51.40045446,0.8316582009,1.453136582
3,76.2931638,52.04349114,0.8684335737,1.465950153
4,77.03362772,51.92848667,0.8702031163,1.48345605
5,85.12478457,56.37402054,0.8747432792,1.51000024
6,77.41707342,50.9543441,0.798439143,1.519341968
7,84.32356418,55.41306133,0.8671477822,1.521727227
8,86.95241143,56.44476861,0.8584727903,1.540486631
9,74.13311404,48.07414422,0.7685941985,1.542057903
10,106.7211415,68.97769987,0.9047483132,1.547183245
11,74.36402121,48.05318758,0.8170446174,1.547535657
12,81.3042004,52.4511359,0.8483193583,1.550094178
13,77.04768244,49.24267814,0.8006386387,1.564652561
14,83.37848692,52.76486452,0.7902846518,1.580189539
15,94.91539197,59.82281961,0.8144491728,1.586608465
16,84.05848002,52.95148583,0.8460948855,1.587462159
17,84.58114773,53.1912048,0.8917055506,1.590134084
18,98.35854914,60.7533301,0.8561983771,1.618982021
19,81.27755239,49.16736189,0.849296679,1.653079386
20,88.02937756,53.17603697,0.8284193098,1.65543321
21,92.20828955,55.27701192,0.8030322832,1.668112772
22,83.82327008,50.02465547,0.8110213549,1.675639128
23,92.58932307,55.11140291,0.770521464,1.680039305
24,88.0017938,52.27703901,0.8395760615,1.683373724
25,76.78904267,45.52911212,0.8267196097,1.686592141
26,88.77990424,52.5886165,0.8724168976,1.688196232
27,95.74362731,56.41101106,0.84989101,1.697250688
28,94.12263105,55.39145755,0.8135991098,1.699226473
29,92.47994738,54.37937746,0.8414383021,1.700643731
30,84.54078476,49.52659704,0.8273956965,1.706977459
31,94.17620603,54.94802805,0.8632337613,1.713914209
32,95.2470937,55.21937217,0.8503064362,1.724885488
33,88.92210563,51.48838799,0.7934308459,1.727032232
34,94.26939767,54.30216853,0.8707456047,1.736015342
35,91.40038634,52.30281469,0.824662357,1.747523281
36,82.57014058,47.15593922,0.8102573226,1.75100193
37,87.97830505,50.23674047,0.793697097,1.751274152
38,87.3845036,49.64746533,0.7952191342,1.760099997
39,89.40212268,50.79059698,0.8196502263,1.760210118
40,91.87618278,52.09462225,0.8684440559,1.763640445
41,82.87781414,46.99201881,0.8077462734,1.763657239
42,92.21294021,51.85164606,0.8313209266,1.778399476
43,89.49579817,50.31824228,0.7915764255,1.778595478
44,94.63650283,53.13975738,0.8225055488,1.780898286
45,87.41286344,49.06935374,0.7991551756,1.781414606
46,92.43690606,51.86429927,0.8389356829,1.782283909
47,90.07527599,50.52519208,0.8451125299,1.782779486
48,95.37622831,53.32667827,0.8475194244,1.788527458
49,77.09079003,42.87187941,0.8165003218,1.798166796
50,95.00364795,52.78100382,0.8037951092,1.799959097
51,87.98665592,48.80975228,0.7866017419,1.802645
52,113.5134456,62.96183004,0.7964398685,1.802893047
53,88.11593906,48.84442145,0.8368304691,1.804012341
54,108.6173366,60.15695607,0.7366697328,1.805565702
55,96.60035011,53.42470023,0.7877846379,1.808158955
56,95.17012555,52.51306281,0.8742429289,1.812313365
57,103.8253162,57.17941587,0.8428050116,1.815781338
58,93.9988852,51.71568655,0.8217639092,1.817608766
59,105.4041588,57.71611459,0.8010143618,1.826251811
60,91.05330784,49.75342248,0.8378032902,1.830091344
61,101.45421,55.34456288,0.8317971432,1.833137796
62,97.47084902,53.15412282,0.8475934313,1.833740148
63,102.8634748,55.96797915,0.8154582075,1.837898676
64,102.4485604,55.73154196,0.835203461,1.838250957
65,98.37593738,53.45686204,0.8152338661,1.840286422
66,94.53973823,51.36464535,0.8507633711,1.840560518
67,96.33549432,52.31804963,0.8438600387,1.84134338
68,99.49226615,53.87480874,0.8095378602,1.846730754
69,97.77562771,52.84771577,0.7740952814,1.850139146
70,97.08081574,52.43244079,0.8430483773,1.851541036
71,96.40313032,52.0250802,0.8296686159,1.853012623
72,106.8064769,57.61952234,0.7826382167,1.853650857
73,96.23547918,51.91358009,0.7873077132,1.8537631
74,94.00787826,50.70506339,0.804545396,1.854013623
75,104.2664186,56.20161967,0.7810635651,1.855220886
76,104.3280876,56.11813541,0.7778566427,1.859079722
77,100.7501023,54.05545555,0.8444528329,1.863828568
78,103.6999129,55.28355112,0.7984344786,1.875782413
79,106.8208342,56.88935479,0.8404385215,1.877694599
80,108.9832503,58.02999061,0.8501589212,1.878050455
81,101.3157423,53.87284326,0.782098362,1.880645909
82,96.14211158,51.05518917,0.8465354078,1.883101662
83,94.00143053,49.88557273,0.8640922705,1.884341011
84,93.5356072,49.58314468,0.7605534256,1.886439592
85,98.2198269,52.02727997,0.7906007149,1.88785243
86,101.1105249,53.53444948,0.8336227921,1.88870019
87,95.97894614,50.81390793,0.8358101034,1.888832212
88,97.32531129,51.31237346,0.8042956236,1.896722072
89,106.8561506,56.29384365,0.8294871322,1.898185373
90,106.2162594,55.86103791,0.74588395,1.901437269
91,100.0223281,52.47633057,0.7708343106,1.906046537
92,107.515859,56.39083506,0.7539157765,1.90661938
93,107.830578,56.55003031,0.8410742143,1.906817334
94,106.5972033,55.87488082,0.8122421728,1.907783994
95,91.13033539,47.69255121,0.7423433479,1.910787598
96,104.1688036,54.50369237,0.8053946714,1.911224709
97,107.3323015,56.11190573,0.7705075425,1.91282581
98,94.59943367,49.34837868,0.8031818784,1.916971463
99,108.0411686,56.32774126,0.7974645733,1.918080969
100,99.93602686,52.0746236,0.7770302741,1.91909264
101,99.88402006,51.99738757,0.7932072089,1.920943046
102,109.0975949,56.64723153,0.8120822131,1.92591221
103,107.2664178,55.61545032,0.8248808254,1.928716161
104,98.86216016,51.20220775,0.8152587481,1.930818309
105,105.5612967,54.66500185,0.767705186,1.931058138
106,95.46121147,49.31615584,0.8145817869,1.935698552
107,106.1024587,54.73130459,0.8029848144,1.938606424
108,108.1493814,55.7786501,0.7813595858,1.93890281
109,104.8104398,53.84724626,0.8279304777,1.946440108
110,93.76361246,48.16081418,0.7745290443,1.94688595
111,106.3932719,54.55141565,0.8061725845,1.950330173
112,101.8422762,52.14737228,0.7954167542,1.952970432
113,101.5810398,51.87325399,0.7591566317,1.958254629
114,101.986251,52.07642841,0.7984676064,1.958395654
115,113.664381,57.90922261,0.782646035,1.962802744
116,95.69548849,48.62133126,0.7873108514,1.96817911
117,113.8714491,57.72255233,0.7808505724,1.972737596
118,99.79394795,50.57754473,0.7401047923,1.973088027
119,106.4473886,53.8901512,0.7953862218,1.975266097
120,110.4464398,55.8747349,0.7822005895,1.976679441
121,105.3373586,53.28323892,0.8239876148,1.976932348
122,122.1912997,61.75362721,0.7970166706,1.978690245
123,103.5232905,52.31378371,0.7924129964,1.978891282
124,99.47215247,50.26503783,0.7861556881,1.978953101
125,100.5093206,50.6631383,0.8415291454,1.983874746
126,106.9605737,53.91266267,0.7930906933,1.983960139
127,96.35268965,48.55849663,0.7586735929,1.984260147
128,106.0365044,53.38323965,0.8348057954,1.986325767
129,102.2953523,51.4952914,0.8004756387,1.986499144
130,118.8225877,59.81104559,0.7868860267,1.986632846
131,89.54280748,44.87519946,0.7393919723,1.995374027
132,110.5368768,55.38850592,0.8362939626,1.995664532
133,99.60332963,49.89166435,0.7578113588,1.996392202
134,97.69259544,48.90235887,0.8084658402,1.997707221
135,112.173828,56.14063497,0.8016373371,1.9980862
136,90.76577027,45.3742466,0.7928891533,2.000380768
137,104.6666913,52.30336252,0.7997409481,2.001146508
138,103.9579819,51.93962023,0.8129348749,2.001516019
139,102.320702,51.07711152,0.7764284644,2.003259365
140,114.2651167,56.98886817,0.7712495363,2.005042746
141,102.4749007,51.07067636,0.7518293439,2.006531105
142,105.6187899,52.60182365,0.7833268258,2.007892171
143,117.2504881,58.37701343,0.805732935,2.008504397
144,98.21898138,48.83939057,0.7842332055,2.011060749
145,110.6894983,55.03698356,0.8160906625,2.011183955
146,113.0982598,56.19223391,0.731760731,2.01270268
147,105.6451601,52.48729068,0.782091577,2.012776022
148,109.7356066,54.49081793,0.757257729,2.013836657
149,114.1212737,56.6442029,0.8141674763,2.014703498
150,105.6400951,52.4323366,0.7886416351,2.014789001
151,106.25667,52.68167884,0.8022395297,2.016956794
152,110.7022218,54.83454494,0.7803160838,2.018840896
153,99.93450497,49.44130516,0.8054395213,2.021275625
154,114.9422326,56.80713383,0.7403286921,2.023376728
155,115.7543147,57.07943418,0.7514626184,2.027951335
156,116.4812077,57.40544291,0.788992229,2.029096926
157,113.4990733,55.91833049,0.8167678301,2.029729291
158,107.2441145,52.81908582,0.7914746645,2.030404595
159,129.5767591,63.76230696,0.8090025457,2.032184299
160,113.8160966,55.96674868,0.8082483544,2.033637817
161,113.0192872,55.41384666,0.8077922335,2.039549572
162,107.4234632,52.61238315,0.7917095883,2.041790482
163,104.3378697,51.01698501,0.8055649481,2.045159464
164,108.0842945,52.78024542,0.8095049548,2.047817202
165,108.3345087,52.88819805,0.8157181779,2.048368308
166,107.9361607,52.65198942,0.7683470106,2.049992068
167,104.1744438,50.8078401,0.7820885889,2.050361589
168,99.21752118,48.33770705,0.7931076753,2.05259056
169,117.3431374,57.06786443,0.7110731355,2.056203409
170,110.2029953,53.56818644,0.7927115404,2.057247083
171,109.3320256,53.09012652,0.7930487855,2.059366454
172,109.8055701,53.23867944,0.79633467,2.062514909
173,104.9579846,50.87502689,0.1745901779,2.063055118
174,100.5480488,48.73552413,0.8272172099,2.063136708
175,105.5405362,51.14681966,0.7494254239,2.063481892
176,104.272109,50.51191604,0.8176355264,2.064307142
177,119.2490531,57.70866139,0.8169312685,2.066397837
178,109.3909238,52.90751618,0.7264860935,2.067587589
179,113.5868234,54.92957964,0.7951896888,2.0678626
180,111.231913,53.76839227,0.7849164151,2.068723061
181,105.9127833,51.19004627,0.7898489,2.069011284
182,114.7953243,55.47569683,0.7641739992,2.069290354
183,116.3895145,56.20142521,0.7884401908,2.070935285
184,114.015075,55.04964734,0.7649672172,2.071131797
185,107.0147691,51.66774487,0.7397011451,2.071210372
186,101.9698018,49.22548543,0.7849073902,2.071483926
187,136.3036028,65.73847541,0.760508352,2.073422024
188,106.5811347,51.36513446,0.7701738283,2.074970421
189,123.0789249,59.31319017,0.812290673,2.075068371
190,115.7148758,55.6734017,0.799324168,2.078458874
191,107.1803967,51.56715505,0.7582356534,2.078462475
192,97.97380616,47.13315533,0.7562749218,2.078660032
193,102.1971523,49.12511552,0.8022670715,2.080344263
194,117.4265099,56.3920177,0.7659391664,2.08232503
195,100.4167531,48.12622906,0.802261185,2.086528594
196,109.0780728,52.25358497,0.7619192817,2.087475392
197,111.7569232,53.44922494,0.738493716,2.090898855
198,109.2448278,52.17637903,0.8026030821,2.093760238
199,108.0691562,51.53272243,0.8034614415,2.097097749
200,93.52974726,44.55523434,0.7884391876,2.099186519
201,110.9722142,52.84775827,0.7681093334,2.099847143
202,98.37247663,46.83791704,0.7623607575,2.100274369
203,114.6402584,54.57328405,0.7903890132,2.100666294
204,119.6187778,56.90043992,0.7918295532,2.102246978
205,106.9162059,50.79355129,0.7519583625,2.104916927
206,106.3301589,50.51491056,0.7537538348,2.104926204
207,106.2923105,50.49647509,0.7862844852,2.104945153
208,125.5554308,59.62625047,0.7699311076,2.105707298
209,118.2361891,56.14671184,0.7702048198,2.105843517
210,120.7283328,57.29556014,0.7730003766,2.107114975
211,108.6018895,51.52527338,0.772243853,2.107740189
212,100.698893,47.73887538,0.8150193165,2.109368773
213,119.0035819,56.38621395,0.7770700271,2.110508466
214,106.5010619,50.38129497,0.737621708,2.113900842
215,100.7357227,47.64940038,0.8056229061,2.11410263
216,120.0379792,56.65960303,0.7940658434,2.118581367
217,111.0079213,52.32413559,0.8067922591,2.121543339
218,106.9693936,50.40674957,0.8009345919,2.122124407
219,127.0139951,59.84329211,0.7746554871,2.122443312
220,107.2992964,50.52718252,0.8115990445,2.123595479
221,104.3388145,49.10437226,0.7279165304,2.124837558
222,116.4064279,54.73755333,0.7287796603,2.126628263
